ih_name,parent_name,Page,Dataset name,Description
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] SDN Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2016-[current year] SDN Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-crsv-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] SDN Conflict-Related Sexual Violence (CRSV) Incident Data,"Dataset covering 01 January 2020 to [to date] on publicly-reported incidents of [sexual violence](https://insecurityinsight.org/projects/reporting-sexual-violence-and-abuse-in-conflict-settings) perpetrated by conflict actors, security personnel, and sexual violence that targets aid workers, educators, health workers and IDPs/refugees."
insecurity-insight-foodsecurity-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2023-[current year] SDN Conflict and Hunger Incident Data,Dataset covering 01 January 2023 to [to date] on incidents with clearly foreseeable impacts on or links to [food security](https://insecurityinsight.org/conflict-and-hunger) based on agency- and open source events. 
insecurity-insight-education-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] SDN Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-explosive-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] SDN Explosive Weapons Monitor Data by Insecurity Insight,"Dataset covering 01 January 2020 [to date] on incidents in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons) based on agency- and open source events."
insecurity-insight-protection-incidents,insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] SDN Protection in Danger Incident Data,Dataset covering January 2020 to [to date]  on threats and violence at [IDP/refugee camps](https://insecurityinsight.org/projects/ensuring-protection/protection-in-danger-monthly-news-brief-2) based on agency- and open source events.
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] SYR Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2016-[current year] SYR Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-foodsecurity-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2023-[current year] SYR Conflict and Hunger Incident Data,Dataset covering 01 January 2023 to [to date] on incidents with clearly foreseeable impacts on or links to [food security](https://insecurityinsight.org/conflict-and-hunger) based on agency- and open source events. 
insecurity-insight-education-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] SYR Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-explosive-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] SYR Explosive Weapons Incident Data by Insecurity Insight,"Dataset covering 01 January 2020 [to date] on incidents in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons) based on agency- and open source events."
insecurity-insight-protection-incidents,insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] SYR Protection in Danger Incident Data,Dataset covering January 2020 to [to date]  on threats and violence at [IDP/refugee camps](https://insecurityinsight.org/projects/ensuring-protection/protection-in-danger-monthly-news-brief-2) based on agency- and open source events.
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] UKR Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2016-[current year] UKR Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-crsv-incidents,insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] UKR Conflict-Related Sexual Violence (CRSV) Incident Data,"Dataset covering 01 January 2020 to [to date] on publicly-reported incidents of [sexual violence](https://insecurityinsight.org/projects/reporting-sexual-violence-and-abuse-in-conflict-settings) perpetrated by conflict actors, security personnel, and sexual violence that targets aid workers, educators, health workers and IDPs/refugees."
insecurity-insight-education-incidents,insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] UKR Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-explosive-incidents,insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",2020-[current year] UKR Explosive Weapons Monitor Data by Insecurity Insight,"Dataset covering 01 January 2020 [to date] on incidents in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons) based on agency- and open source events."
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] YEM Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2016-[current year] YEM Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-foodsecurity-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2023-[current year] YEM Conflict and Hunger Incident Data,Dataset covering 01 January 2023 to [to date] on incidents with clearly foreseeable impacts on or links to [food security](https://insecurityinsight.org/conflict-and-hunger) based on agency- and open source events. 
insecurity-insight-education-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] YEM Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-explosive-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] YEM Explosive Weapons Monitor Data by Insecurity Insight,"Dataset covering 01 January 2020 [to date] on incidents in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons) based on agency- and open source events."
insecurity-insight-protection-incidents,insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Food Security, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",2020-[current year] YEM Protection in Danger Incident Data,Dataset covering January 2020 to [to date]  on threats and violence at [IDP/refugee camps](https://insecurityinsight.org/projects/ensuring-protection/protection-in-danger-monthly-news-brief-2) based on agency- and open source events.
